"species","unit","def_orig","is.ices","def"
"Anglerfish",1,"IIa",TRUE,"2.a"
"Anglerfish",1,"IV",TRUE,"4"
"Anglerfish",2,"IV (Norwegian waters)",TRUE,"4"
"Anglerfish",3,"Vb",TRUE,"5.b"
"Anglerfish",3,"VI",TRUE,"6"
"Anglerfish",3,"XII",TRUE,"12"
"Anglerfish",3,"XIV",TRUE,"14"
"Anglerfish",4,"VII",TRUE,"7"
"Anglerfish",5,"VIIIabde",TRUE,"8.a"
"Anglerfish",5,"VIIIabde",TRUE,"8.b"
"Anglerfish",5,"VIIIabde",TRUE,"8.d"
"Anglerfish",5,"VIIIabde",TRUE,"8.e"
"Anglerfish",6,"VIIIc",TRUE,"8.c"
"Anglerfish",6,"IX",TRUE,"9"
"Anglerfish",6,"X",TRUE,"10"
"Tusk",1,"I",TRUE,"1"
"Tusk",1,"II",TRUE,"2"
"Tusk",1,"XIV",TRUE,"14"
"Tusk",2,"IIIa",TRUE,"3.a"
"Tusk",2,"subdivisions 22-32",TRUE,"22"
"Tusk",2,"subdivisions 22-32",TRUE,"23"
"Tusk",2,"subdivisions 22-32",TRUE,"24"
"Tusk",2,"subdivisions 22-32",TRUE,"25"
"Tusk",2,"subdivisions 22-32",TRUE,"26"
"Tusk",2,"subdivisions 22-32",TRUE,"27"
"Tusk",2,"subdivisions 22-32",TRUE,"28"
"Tusk",2,"subdivisions 22-32",TRUE,"29"
"Tusk",2,"subdivisions 22-32",TRUE,"30"
"Tusk",2,"subdivisions 22-32",TRUE,"31"
"Tusk",2,"subdivisions 22-32",TRUE,"32"
"Tusk",3,"IV",TRUE,"4"
"Tusk",4,"IV (Norwegian waters)",TRUE,"4"
"Tusk",5,"V",TRUE,"5"
"Tusk",5,"VI",TRUE,"6"
"Tusk",5,"VII",TRUE,"7"
"Cod",1,"I",TRUE,"1"
"Cod",1,"IIb",TRUE,"2.b"
"Cod",2,"I (Norwegian waters)",TRUE,"1"
"Cod",2,"II (Norwegian waters)",TRUE,"2"
"Cod",3,"IIa",TRUE,"2.a"
"Cod",3,"IIIa (exc. Skagerrak et Kattegat)",TRUE,"3.a"
"Cod",3,"IV",TRUE,"4"
"Cod",4,"Subdivisions 22-24",TRUE,"22"
"Cod",4,"Subdivisions 22-24",TRUE,"23"
"Cod",4,"Subdivisions 22-24",TRUE,"24"
"Cod",5,"Subdivisions 25-32",TRUE,"25"
"Cod",5,"Subdivisions 25-32",TRUE,"26"
"Cod",5,"Subdivisions 25-32",TRUE,"27"
"Cod",5,"Subdivisions 25-32",TRUE,"28"
"Cod",5,"Subdivisions 25-32",TRUE,"29"
"Cod",5,"Subdivisions 25-32",TRUE,"30"
"Cod",5,"Subdivisions 25-32",TRUE,"31"
"Cod",5,"Subdivisions 25-32",TRUE,"32"
"Cod",6,"Skagerrak",TRUE,"Skagerrak"
"Cod",7,"Kattegat",TRUE,"Kattegat"
"Cod",9,"VIb EC and international waters of Vb to the west of 12?00 W and to XII and XIV",TRUE,"6.b"
"Cod",10,"VIa EC and international waters of Vb to the east of 12?00 W",TRUE,"6.a"
"Cod",12,"VIIa",TRUE,"7.a"
"Cod",13,"VIIbc",TRUE,"7.b"
"Cod",13,"VIIbc",TRUE,"7.c"
"Cod",13,"VIIe-k",TRUE,"7.e"
"Cod",13,"VIIe-k",TRUE,"7.f"
"Cod",13,"VIIe-k",TRUE,"7.g"
"Cod",13,"VIIe-k",TRUE,"7.h"
"Cod",13,"VIIe-k",TRUE,"7.i"
"Cod",13,"VIIe-k",TRUE,"7.j"
"Cod",13,"VIIe-k",TRUE,"7.k"
"Cod",13,"VIII",TRUE,"8"
"Cod",13,"IX",TRUE,"9"
"Cod",13,"X",TRUE,"10"
"Cod",14,"VIId",TRUE,"7.d"
"Cod",15,"XIV (Greenland waters)",TRUE,"14"
"Megrims",1,"IIa",TRUE,"2.a"
"Megrims",1,"IV",TRUE,"4"
"Megrims",2,"Vb",TRUE,"5.b"
"Megrims",2,"VI",TRUE,"6"
"Megrims",2,"XII",TRUE,"12"
"Megrims",2,"XIV",TRUE,"14"
"Megrims",3,"VII",TRUE,"7"
"Megrims",4,"VIIIabde",TRUE,"8.a"
"Megrims",4,"VIIIabde",TRUE,"8.b"
"Megrims",4,"VIIIabde",TRUE,"8.d"
"Megrims",4,"VIIIabde",TRUE,"8.e"
"Megrims",5,"VIIIc",TRUE,"8.c"
"Megrims",5,"IX",TRUE,"9"
"Megrims",5,"X",TRUE,"10"
"Horse mackerel",1,"IIa",TRUE,"2.a"
"Horse mackerel",1,"IVa",TRUE,"4.a"
"Horse mackerel",1,"Vb",TRUE,"5.b"
"Horse mackerel",1,"VI",TRUE,"6"
"Horse mackerel",1,"VIIa-c",TRUE,"7.a"
"Horse mackerel",1,"VIIa-c",TRUE,"7.b"
"Horse mackerel",1,"VIIa-c",TRUE,"7.c"
"Horse mackerel",1,"VIIe-k",TRUE,"7.e"
"Horse mackerel",1,"VIIe-k",TRUE,"7.f"
"Horse mackerel",1,"VIIe-k",TRUE,"7.g"
"Horse mackerel",1,"VIIe-k",TRUE,"7.h"
"Horse mackerel",1,"VIIe-k",TRUE,"7.i"
"Horse mackerel",1,"VIIe-k",TRUE,"7.j"
"Horse mackerel",1,"VIIe-k",TRUE,"7.k"
"Horse mackerel",1,"VIIIabde",TRUE,"8.a"
"Horse mackerel",1,"VIIIabde",TRUE,"8.b"
"Horse mackerel",1,"VIIIabde",TRUE,"8.d"
"Horse mackerel",1,"VIIIabde",TRUE,"8.e"
"Horse mackerel",1,"XII",TRUE,"12"
"Horse mackerel",1,"XIV",TRUE,"14"
"Horse mackerel",2,"IVbc",TRUE,"4.b"
"Horse mackerel",2,"IVbc",TRUE,"4.c"
"Horse mackerel",2,"VIId",TRUE,"7.d"
"Horse mackerel",3,"VIIIc",TRUE,"8.c"
"Horse mackerel",4,"IX",TRUE,"9"
"Horse mackerel",5,"X",TRUE,"10"
"Northern prawn",1,"IIa",TRUE,"2.a"
"Northern prawn",1,"IV",TRUE,"4"
"Northern prawn",2,"IIIa",TRUE,"3.a"
"Northern prawn",4,"V (Greenland waters)",TRUE,"5"
"Northern prawn",4,"XIV (Greenland waters)",TRUE,"14"
"Haddock",1,"I (Norwegian waters)",TRUE,"1"
"Haddock",1,"II (Norwegian waters)",TRUE,"2"
"Haddock",2,"IIa",TRUE,"2.a"
"Haddock",2,"IV",TRUE,"4"
"Haddock",3,"IIIa",TRUE,"3.a"
"Haddock",3,"subdivisions 22-32",TRUE,"22"
"Haddock",3,"subdivisions 22-32",TRUE,"23"
"Haddock",3,"subdivisions 22-32",TRUE,"24"
"Haddock",3,"subdivisions 22-32",TRUE,"25"
"Haddock",3,"subdivisions 22-32",TRUE,"26"
"Haddock",3,"subdivisions 22-32",TRUE,"27"
"Haddock",3,"subdivisions 22-32",TRUE,"28"
"Haddock",3,"subdivisions 22-32",TRUE,"29"
"Haddock",3,"subdivisions 22-32",TRUE,"30"
"Haddock",3,"subdivisions 22-32",TRUE,"31"
"Haddock",3,"subdivisions 22-32",TRUE,"32"
"Haddock",5,"Vb",TRUE,"5.b"
"Haddock",5,"VIa",TRUE,"6.a"
"Haddock",6,"VIb",TRUE,"6.b"
"Haddock",6,"XII",TRUE,"12"
"Haddock",6,"XIV",TRUE,"14"
"Haddock",7,"VIIa",TRUE,"7.a"
"Haddock",8,"VIIb-k",TRUE,"7.b"
"Haddock",8,"VIIb-k",TRUE,"7.c"
"Haddock",8,"VIIb-k",TRUE,"7.d"
"Haddock",8,"VIIb-k",TRUE,"7.e"
"Haddock",8,"VIIb-k",TRUE,"7.f"
"Haddock",8,"VIIb-k",TRUE,"7.g"
"Haddock",8,"VIIb-k",TRUE,"7.h"
"Haddock",8,"VIIb-k",TRUE,"7.i"
"Haddock",8,"VIIb-k",TRUE,"7.j"
"Haddock",8,"VIIb-k",TRUE,"7.k"
"Haddock",8,"VIII",TRUE,"8"
"Haddock",8,"IX",TRUE,"9"
"Haddock",8,"X",TRUE,"10"
"Greenland halibut",1,"I",TRUE,"1"
"Greenland halibut",1,"II",TRUE,"2"
"Greenland halibut",2,"I (Norwegian waters)",TRUE,"1"
"Greenland halibut",2,"II (Norwegian waters)",TRUE,"2"
"Greenland halibut",3,"IIa",TRUE,"2.a"
"Greenland halibut",3,"IV",TRUE,"4"
"Greenland halibut",3,"Vb",TRUE,"5.b"
"Greenland halibut",3,"VI",TRUE,"6"
"Greenland halibut",4,"V (Greenland waters)",TRUE,"5"
"Greenland halibut",4,"XIV (Greenland waters)",TRUE,"14"
"Roundnose grenadier",1,"I",TRUE,"1"
"Roundnose grenadier",1,"II",TRUE,"2"
"Roundnose grenadier",1,"IV",TRUE,"4"
"Roundnose grenadier",2,"III",TRUE,"3"
"Roundnose grenadier",3,"Vb",TRUE,"5.b"
"Roundnose grenadier",3,"VI",TRUE,"6"
"Roundnose grenadier",3,"VII",TRUE,"7"
"Roundnose grenadier",4,"VIII",TRUE,"8"
"Roundnose grenadier",4,"IX",TRUE,"9"
"Roundnose grenadier",4,"X",TRUE,"10"
"Roundnose grenadier",4,"XII",TRUE,"12"
"Roundnose grenadier",4,"XIV",TRUE,"14"
"Herring",1,"I",TRUE,"1"
"Herring",1,"II",TRUE,"2"
"Herring",2,"IIa",TRUE,"2.a"
"Herring",2,"IV",TRUE,"4"
"Herring",2,"VIId",TRUE,"7.d"
"Herring",3,"IIIa",TRUE,"3.a"
"Herring",5,"Subdivisions 22-24",TRUE,"22"
"Herring",5,"Subdivisions 22-24",TRUE,"23"
"Herring",5,"Subdivisions 22-24",TRUE,"24"
"Herring",6,"Subdivisions 25-27",TRUE,"25"
"Herring",6,"Subdivisions 25-27",TRUE,"26"
"Herring",6,"Subdivisions 25-27",TRUE,"27"
"Herring",6,"28.2",TRUE,"28.2"
"Herring",6,"29",TRUE,"29"
"Herring",6,"32",TRUE,"32"
"Herring",7,"Subdivision 28.1",TRUE,"28.1"
"Herring",8,"Subdivisions 30-31",TRUE,"30"
"Herring",8,"Subdivisions 30-31",TRUE,"31"
"Herring",11,"IVc",TRUE,"4.c"
"Herring",11,"VIId",TRUE,"7.d"
"Herring",12,"Vb",TRUE,"5.b"
"Herring",12,"VIa N",TRUE,"6.a"
"Herring",12,"VIb",TRUE,"6.b"
"Herring",13,"VIaS",TRUE,"6.a"
"Herring",13,"VIIbc",TRUE,"7.b"
"Herring",13,"VIIbc",TRUE,"7.c"
"Herring",14,"VI Clyde",TRUE,"6"
"Herring",15,"VIIa",TRUE,"7.a"
"Herring",16,"VIIef",TRUE,"7.e"
"Herring",16,"VIIef",TRUE,"7.f"
"Herring",17,"VIIghjk",TRUE,"7.g"
"Herring",17,"VIIghjk",TRUE,"7.h"
"Herring",17,"VIIghjk",TRUE,"7.j"
"Herring",17,"VIIghjk",TRUE,"7.k"
"Sandeel",1,"IIa",TRUE,"2.a"
"Sandeel",1,"IIIa",TRUE,"3.a"
"Sandeel",1,"IV",TRUE,"4"
"Sandeel",2,"IV (Norwegian waters)",TRUE,"4"
"Norway lobster",1,"IIa",TRUE,"2.a"
"Norway lobster",1,"IV",TRUE,"4"
"Norway lobster",2,"IIIa",TRUE,"3.a"
"Norway lobster",2,"subdivisions 22-32",TRUE,"22"
"Norway lobster",2,"subdivisions 22-32",TRUE,"23"
"Norway lobster",2,"subdivisions 22-32",TRUE,"24"
"Norway lobster",2,"subdivisions 22-32",TRUE,"25"
"Norway lobster",2,"subdivisions 22-32",TRUE,"26"
"Norway lobster",2,"subdivisions 22-32",TRUE,"27"
"Norway lobster",2,"subdivisions 22-32",TRUE,"28"
"Norway lobster",2,"subdivisions 22-32",TRUE,"29"
"Norway lobster",2,"subdivisions 22-32",TRUE,"30"
"Norway lobster",2,"subdivisions 22-32",TRUE,"31"
"Norway lobster",2,"subdivisions 22-32",TRUE,"32"
"Norway lobster",3,"IV (Norwegian waters)",TRUE,"4"
"Norway lobster",4,"Vb",TRUE,"5.b"
"Norway lobster",4,"VI",TRUE,"6"
"Norway lobster",5,"VII",TRUE,"7"
"Norway lobster",6,"VIIIabde",TRUE,"8.a"
"Norway lobster",6,"VIIIabde",TRUE,"8.b"
"Norway lobster",6,"VIIIabde",TRUE,"8.d"
"Norway lobster",6,"VIIIabde",TRUE,"8.e"
"Norway lobster",7,"VIIIc",TRUE,"8.c"
"Norway lobster",8,"IX",TRUE,"9"
"Norway lobster",8,"X",TRUE,"10"
"Pollack",1,"Vb",TRUE,"5.b"
"Pollack",1,"VI",TRUE,"6"
"Pollack",1,"XII",TRUE,"12"
"Pollack",1,"XIV",TRUE,"14"
"Pollack",2,"VII",TRUE,"7"
"Pollack",3,"VIIIabde",TRUE,"8.a"
"Pollack",3,"VIIIabde",TRUE,"8.b"
"Pollack",3,"VIIIabde",TRUE,"8.d"
"Pollack",3,"VIIIabde",TRUE,"8.e"
"Pollack",4,"VIIIc",TRUE,"8.c"
"Pollack",5,"IX",TRUE,"9"
"Pollack",5,"X",TRUE,"10"
"Saithe",1,"I (Norwegian waters)",TRUE,"1"
"Saithe",1,"II (Norwegian waters)",TRUE,"2"
"Saithe",2,"I",TRUE,"1"
"Saithe",2,"II",TRUE,"2"
"Saithe",3,"IIa",TRUE,"2.a"
"Saithe",3,"IIIa",TRUE,"3.a"
"Saithe",3,"IIIbc",TRUE,"3.b"
"Saithe",3,"IIIbc",TRUE,"3.c"
"Saithe",3,"IV",TRUE,"4"
"Saithe",3,"subdivisions 22-32",TRUE,"22"
"Saithe",3,"subdivisions 22-32",TRUE,"23"
"Saithe",3,"subdivisions 22-32",TRUE,"24"
"Saithe",3,"subdivisions 22-32",TRUE,"25"
"Saithe",3,"subdivisions 22-32",TRUE,"26"
"Saithe",3,"subdivisions 22-32",TRUE,"27"
"Saithe",3,"subdivisions 22-32",TRUE,"28"
"Saithe",3,"subdivisions 22-32",TRUE,"29"
"Saithe",3,"subdivisions 22-32",TRUE,"30"
"Saithe",3,"subdivisions 22-32",TRUE,"31"
"Saithe",3,"subdivisions 22-32",TRUE,"32"
"Saithe",5,"Vb",TRUE,"5.b"
"Saithe",5,"VI",TRUE,"6"
"Saithe",5,"XII",TRUE,"12"
"Saithe",5,"XIV",TRUE,"14"
"Saithe",7,"VII",TRUE,"7"
"Saithe",7,"VIII",TRUE,"8"
"Saithe",7,"IX",TRUE,"9"
"Saithe",7,"X",TRUE,"10"
"Dab",1,"IIa",TRUE,"2.a"
"Dab",1,"IV",TRUE,"4"
"Lemon sole",1,"IIa",TRUE,"2.a"
"Lemon sole",1,"IV",TRUE,"4"
"Ling",1,"I",TRUE,"1"
"Ling",1,"II",TRUE,"2"
"Ling",2,"IIIa",TRUE,"3.a"
"Ling",2,"IIIbcd",TRUE,"3.b"
"Ling",2,"IIIbcd",TRUE,"3.c"
"Ling",2,"IIIbcd",TRUE,"3.d"
"Ling",3,"IV",TRUE,"4"
"Ling",4,"IV (Norwegian waters)",TRUE,"4"
"Ling",5,"V",TRUE,"5"
"Ling",7,"VI",TRUE,"6"
"Ling",7,"VII",TRUE,"7"
"Ling",7,"VIII",TRUE,"8"
"Ling",7,"IX",TRUE,"9"
"Ling",7,"X",TRUE,"10"
"Ling",7,"XII",TRUE,"12"
"Ling",7,"XIV",TRUE,"14"
"Blue ling",1,"II",TRUE,"2"
"Blue ling",1,"IV",TRUE,"4"
"Blue ling",2,"III",TRUE,"3"
"Blue ling",3,"Vb",TRUE,"5.b"
"Blue ling",3,"VI",TRUE,"6"
"Blue ling",3,"VII",TRUE,"7"
"Blue ling",4,"XII",TRUE,"12"
"Mackerel",1,"IIa",TRUE,"2.a"
"Mackerel",1,"IIIa",TRUE,"3.a"
"Mackerel",1,"IIIbc",TRUE,"3.b"
"Mackerel",1,"IIIbc",TRUE,"3.c"
"Mackerel",1,"IV",TRUE,"4"
"Mackerel",1,"subdivisions 22-32",TRUE,"22"
"Mackerel",1,"subdivisions 22-32",TRUE,"23"
"Mackerel",1,"subdivisions 22-32",TRUE,"24"
"Mackerel",1,"subdivisions 22-32",TRUE,"25"
"Mackerel",1,"subdivisions 22-32",TRUE,"26"
"Mackerel",1,"subdivisions 22-32",TRUE,"27"
"Mackerel",1,"subdivisions 22-32",TRUE,"28"
"Mackerel",1,"subdivisions 22-32",TRUE,"29"
"Mackerel",1,"subdivisions 22-32",TRUE,"30"
"Mackerel",1,"subdivisions 22-32",TRUE,"31"
"Mackerel",1,"subdivisions 22-32",TRUE,"32"
"Mackerel",2,"IIa",TRUE,"2.a"
"Mackerel",2,"Vb",TRUE,"5.b"
"Mackerel",2,"VI",TRUE,"6"
"Mackerel",2,"VII",TRUE,"7"
"Mackerel",2,"VIIIabde",TRUE,"8.a"
"Mackerel",2,"VIIIabde",TRUE,"8.b"
"Mackerel",2,"VIIIabde",TRUE,"8.d"
"Mackerel",2,"VIIIabde",TRUE,"8.e"
"Mackerel",2,"XII",TRUE,"12"
"Mackerel",2,"XIV",TRUE,"14"
"Mackerel",3,"IIa (Norwegian waters)",TRUE,"2.a"
"Mackerel",3,"IVa (Norwegian waters)",TRUE,"4.a"
"Mackerel",4,"VIIIc",TRUE,"8.c"
"Mackerel",4,"IX",TRUE,"9"
"Mackerel",4,"X",TRUE,"10"
"Whiting",1,"IIa",TRUE,"2.a"
"Whiting",1,"IV",TRUE,"4"
"Whiting",2,"IIIa",TRUE,"3.a"
"Whiting",4,"Vb",TRUE,"5.b"
